name;orbital_period
HD 100777 b;383.7
HD 10180 c;5.75979
HD 10180 d;16.3579
HD 10180 e;49745
HD 10180 f;122.76
HD 10180 g;601.2
HD 10180 h;2222
HD 101930 b;70.46
HD 102117 b;20.67
HD 102195 b;4.113775
HD 102272 b;127.58
HD 102272 c;520
HD 102329 b;778.1
HD 102365 b;122.1
HD 102956 b;6495
HD 103197 b;47.84
HD 103720 b;4.5557
HD 103774 b;5.8881
HD 104067 b;55806
HD 104985 b;198.2
HD 106252 b;1600
HD 106270 b;2890
HD 10647 b;1003
HD 106515A b;3630
HD 106906 b;-1
HD 10697 b;1076.4
HD 107148 b;48056
HD 108147 b;10.8985
HD 108341 b;1129
HD 108863 b;443.4
HD 108874 b;395.4
HD 108874 c;1605.8
HD 109246 b;68.27
HD 109271 b;7.8543
HD 109271 c;30.93
HD 109749 b;5.23921
HD 110014 b;835477
HD 111232 b;1143
HD 113337 b;324
HD 113538 b;663.2
HD 113538 c;1818
HD 114386 b;937
HD 114386 c;1046
HD 114613 b;3827
HD 114729 b;1135
HD 114762 b;83.9151
HD 114783 b;501
HD 11506 b;1270
HD 11506 c;170.46
HD 116029 b;670.2
HD 117207 b;2627.08
HD 11755 b;433.7
HD 117618 b;25827
HD 117618 c;318
HD 118203 b;6.13322
HD 11964 b;1945
HD 11964 c;37.91
HD 11977 b;711
HD 120084 b;2082
HD 121504 b;63.33
HD 122430 b;344.95
HD 125595 b;9.6737
HD 125612 b;502
HD 125612 c;4.1547
HD 125612 d;3008
HD 12648 b;133.6
HD 126525 b;948.12
HD 12661 b;263.6
HD 12661 c;1708
HD 126614 b;1244
HD 128311 b;448.6
HD 128311 c;919
HD 129445 b;1840
HD 130322 b;10.72
HD 131496 b;883
HD 13189 b;471.6
HD 132406 b;974
HD 132563B b;1544
HD 134060 b;3.27
HD 134060 c;1160.9
HD 134606 b;12083
HD 134606 c;59519
HD 134606 d;459.26
HD 134987 b;258.19
HD 134987 c;5000
HD 136352 b;11577
HD 136352 c;27582
HD 136352 d;106.72
HD 136418 b;464.3
HD 137388 b;330
HD 13808 b;14182
HD 13808 c;53832
HD 13908 b;19382
HD 13908 c;931
HD 13931 b;4218
HD 139357 b;1125.7
HD 14067 b;1455
HD 141399 b;94.35
HD 141399 c;202.08
HD 141399 d;1070.35
HD 141399 e;3717.35
HD 141937 b;653.22
HD 142 b;349.7
HD 142 c;6005
HD 142022 A b;1928
HD 142245 b;1299
HD 142415 b;386.3
HD 143361 b;1057
HD 145377 b;103.95
HD 145457 b;176.3
HD 145934 b;2730
HD 1461 b;5.77152
HD 1461 c;13.5052
HD 147018 b;44236
HD 147018 c;1008
HD 147513 b;528.4
HD 148156 b;1010
HD 148427 b;331.5
HD 149026 b;2.8758916
HD 149143 b;4.07206
HD 1502 b;431.8
HD 150433 b;1096.2
HD 150706 b;5894
HD 152079 b;2097
HD 152581 b;689
HD 153950 b;499.4
HD 154088 b;18596
HD 154345 b;3538
HD 154672 b;163.91
HD 154857 b;408.6
HD 154857 c;3452
HD 155233 b;885
HD 155358 b;194.3
HD 155358 c;391.9
HD 156279 b;131.05
HD 156411 b;842.2
HD 156668 b;4646
HD 157172 b;104.84
HD 158038 b;521
HD 159243 b;12.62
HD 159243 c;248.4
HD 159868 b;1178.4
HD 159868 c;352.3
HD 1605 b;577.9
HD 1605 c;2111
HD 16141 b;75.82
HD 16175 b;990
HD 162020 b;8.428198
HD 163607 b;75229
HD 163607 c;1314
HD 16417 b;17.24
HD 164509 b;282.4
HD 164595 b;40
HD 164604 b;606.4
HD 164922 b;1155
HD 1666 b;270
HD 166724 b;8100
HD 167042 b;416.1
HD 168443 b;58.11247
HD 168443 c;1749.83
HD 168746 b;6403
HD 1690 b;533
HD 169830 b;225.62
HD 169830 c;2102
HD 170469 b;1145
HD 17092 b;359.9
HD 171028 b;550
HD 171238 b;1523
HD 17156 b;21.2163979
HD 173416 b;323.6
HD 175167 b;1290
HD 175541 b;297.3
HD 176051 b;1016
HD 177830 b;406.6
HD 177830 c;110.9
HD 178911 B b;71487
HD 179079 b;14476
HD 179949 b;3.0925
HD 180314 b;396.03
HD 180902 b;479
HD 181342 b;663
HD 181433 b;9.3743
HD 181433 c;962
HD 181433 d;2172
HD 181720 b;956
HD 183263 b;626.5
HD 183263 c;2950
HD 185269 b;6838
HD 187085 b;986
HD 187123 b;3.0965828
HD 187123 c;3810
HD 18742 b;772
HD 188015 b;456.46
HD 189567 b;14275
HD 189733 b;2.21857312
HD 190360 b;2867.9
HD 190360 c;17.1186
HD 190647 b;1038.1
HD 190984 b;4885
HD 192263 b;24.3587
HD 192310 c;525.8
HD 192699 b;351.5
HD 195019 b;18.20163
HD 196050 b;1316.24
HD 196067 b;3638
HD 196885 A b;1326
HD 197037 b;1035.7
HD 19994 b;535.7
HD 20003 b;11849
HD 20003 c;33823
HD 200964 b;613.8
HD 200964 c;825
HD 202206 b;255.87
HD 202206 c;1383.4
HD 20367 b;500
HD 2039 b;1183
HD 204313 b;2024.1
HD 204313 c;34905
HD 204313 d;2831.6
HD 204941 b;1733
HD 205739 b;279.8
HD 206610 b;610
HD 20781 b;29.15
HD 20781 c;85131
HD 20782 b;591.9
HD 207832 b;161.97
HD 207832 c;1155.7
HD 20794 b;18315
HD 20794 c;40114
HD 20794 d;90309
HD 208487 b;129.8
HD 208527 b;875.5
HD 20868 b;380.85
HD 209458 b;3.52472
HD 210277 b;442.1
HD 210702 b;354.8
HD 211847 b;7930
HD 212301 b;2.245715
HD 212771 b;373.3
HD 213240 b;951
HD 215152 b;7.2825
HD 215152 c;10866
HD 215456 b;191.99
HD 215456 c;2277
HD 215497 b;3.93404
HD 215497 c;567.94
HD 216435 b;1311
HD 216437 b;1256
HD 216536 b;148.6
HD 216770 b;118.45
HD 21693 b;22656
HD 21693 c;53881
HD 217107 b;7.12689
HD 217107 c;4210
HD 217786 b;1319
HD 218566 b;225.7
HD 219077 b;5501
HD 219134 b;3.0931
HD 219134 c;6.7635
HD 219134 d;46.71
HD 219134 e;1842
HD 219134 f;22805
HD 219134 g;94.2
HD 219134 h;2247
HD 219415 b;2093.3
HD 219828 b;3.8335
HD 220074 b;672.1
HD 220689 b;2209
HD 220773 b;3724.7
HD 221287 b;456.1
HD 222155 b;3999
HD 222582 b;572.38
HD 224693 b;26.73
HD 22781 b;528.07
HD 23079 b;626
HD 23127 b;1214
HD 231701 b;141.6
HD 233604 b;192
HD 23596 b;1565
HD 240210 b;501.75
HD 240237 b;745.7
HD 24040 b;3668
HD 24064 b;555.6
HD 25171 b;1845
HD 2638 b;3.43752
HD 27442 b;415.2
HD 27631 b;2208
HD 27894 b;17991
HD 28185 b;383
HD 28254 b;1116
HD 284149 b;-1
HD 285507 b;6.0881
HD 28678 b;387.1
HD 290327 b;2443
HD 2952 b;311.6
HD 30177 b;1620
HD 30562 b;1157
HD 30669 b;1684
HD 30856 b;912
HD 31253 b;466
HD 31527 b;16546
HD 31527 c;51284
HD 31527 d;274.49
HD 32518 b;157.54
HD 330075 b;3.6413
HD 33142 b;326.6
HD 33283 b;18.1801
HD 33564 b;388
HD 34445 b;1049
HD 3651 b;62.23
HD 3651 c;31
HD 37124 b;154378
HD 37124 c;885.5
HD 37124 d;1862
HD 37605 b;55.01307
HD 37605 c;2720
HD 38283 b;363.2
HD 38529 b;14.3104
HD 38529 c;2134.76
HD 38801 b;696.3
HD 38858 b;407.15
