name;mass
HD 10180 f;0.07519743
HD 10180 g;0.06733159
HD 10180 h;0.202624
HD 101930 b;0.3
HD 102117 b;0.172
HD 102195 b;0.45
HD 102272 b;5.9
HD 102272 c;2.6
HD 102329 b;5.9
HD 102365 b;0.05
HD 102956 b;0.96
HD 103197 b;0.098
HD 103720 b;0.62
HD 103774 b;0.367
HD 104067 b;0.186
HD 104985 b;6.3
HD 106252 b;7.56
HD 106270 b;11
HD 10647 b;0.93
HD 106515A b;9.61
HD 106906 b;11
HD 10697 b;6.38
HD 107148 b;0.21
HD 108147 b;0.261
HD 108341 b;3.5
HD 108863 b;2.6
HD 108874 b;1.36
HD 108874 c;1.018
HD 109246 b;0.77
HD 109271 b;0.054
HD 109271 c;0.076
HD 109749 b;0.28
HD 110014 b;11.09
HD 111232 b;6.8
HD 113337 b;2.83
HD 113538 b;0.36
HD 113538 c;0.93
HD 114386 b;1.24
HD 114386 c;1.19
HD 114613 b;0.48
HD 114729 b;0.84
HD 114762 b;10.98
HD 114783 b;1
HD 11506 b;3.44
HD 11506 c;0.82
HD 116029 b;2.1
HD 117207 b;2.06
HD 11755 b;6.5
HD 117618 b;0.178
HD 117618 c;0.2
HD 118203 b;2.14
HD 11964 b;0.622
HD 11964 c;0.079
HD 11977 b;6.54
HD 120084 b;4.5
HD 121504 b;1.22
HD 122430 b;3.71
HD 125595 b;0.042
HD 125612 b;3
HD 125612 c;0.058
HD 125612 d;7.2
HD 12648 b;2.9
HD 126525 b;0.224
HD 12661 b;2.3
HD 12661 c;1.57
HD 126614 b;0.38
HD 128311 b;2.18
HD 128311 c;3.21
HD 129445 b;1.6
HD 130322 b;1.02
HD 131496 b;2.2
HD 13189 b;14
HD 132406 b;5.61
HD 132563B b;1.49
HD 134060 b;0.0351
HD 134060 c;0.1507
HD 134606 b;0.0292
HD 134606 c;0.0382
HD 134606 d;0.121
HD 134987 b;1.59
HD 134987 c;0.82
HD 136352 b;0.0166
HD 136352 c;0.0358
HD 136352 d;0.03
HD 136418 b;2
HD 137388 b;0.223
HD 13808 b;0.0325
HD 13808 c;0.036
HD 13908 b;0.865
HD 13908 c;5.13
HD 13931 b;1.88
HD 139357 b;9.76
HD 14067 b;7.8
HD 141399 b;0.46
HD 141399 c;1.36
HD 141399 d;1.22
HD 141399 e;0.69
HD 141937 b;9.7
HD 142 b;1.25
HD 142 c;5.3
HD 142022 A b;5.1
HD 142245 b;1.9
HD 142415 b;1.62
HD 143361 b;3.12
HD 145377 b;5.76
HD 145457 b;2.9
HD 145934 b;2.28
HD 1461 b;0.0203
HD 1461 c;0.0176
HD 147018 b;2.12
HD 147018 c;6.56
HD 147513 b;1.21
HD 148156 b;0.85
HD 148427 b;0.96
HD 149026 b;0.356
HD 149143 b;1.33
HD 1502 b;3.1
HD 150433 b;0.168
HD 150706 b;2.71
HD 152079 b;3
HD 152581 b;1.5
HD 153950 b;2.73
HD 154088 b;0.0193
HD 154345 b;1
HD 154672 b;5.02
HD 154857 b;2.24
HD 154857 c;2.58
HD 155233 b;2
HD 155358 b;0.85
HD 155358 c;0.82
HD 156279 b;9.71
HD 156411 b;0.74
HD 156668 b;0.0131
HD 157172 b;0.12
HD 158038 b;1.8
HD 159243 b;1.13
HD 159243 c;1.9
HD 159868 b;2.1
HD 159868 c;0.73
HD 1605 b;0.96
HD 1605 c;3.48
HD 16141 b;0.215
HD 16175 b;4.4
HD 162020 b;14.4
HD 163607 b;0.77
HD 163607 c;2.29
HD 16417 b;0.069
HD 164509 b;0.48
HD 164595 b;0.0516
HD 164604 b;2.7
HD 164922 b;0.36
HD 1666 b;6.43
HD 166724 b;3.53
HD 167042 b;1.6
HD 168443 b;7.659
HD 168443 c;17.193
HD 168746 b;0.23
HD 1690 b;6.1
HD 169830 b;2.88
HD 169830 c;4.04
HD 170469 b;0.67
HD 17092 b;4.6
HD 171028 b;1.98
HD 171238 b;2.6
HD 17156 b;3.191
HD 173416 b;2.7
HD 175167 b;7.8
HD 175541 b;0.61
HD 176051 b;1.5
HD 177830 b;1.49
HD 177830 c;0.15
HD 178911 B b;6.292
HD 179079 b;0.08
HD 179949 b;0.92
HD 180314 b;22
HD 180902 b;1.6
HD 181342 b;3.3
HD 181433 b;0.0238
HD 181433 c;0.64
HD 181433 d;0.54
HD 181720 b;0.37
HD 183263 b;3.67
HD 183263 c;3.82
HD 185269 b;0.94
HD 187085 b;0.75
HD 187123 b;0.52
HD 187123 c;1.99
HD 18742 b;2.7
HD 188015 b;1.26
HD 189567 b;0.0316
HD 189733 b;1.138
HD 190360 b;1.495
HD 190360 c;0.06381
HD 190647 b;1.9
HD 190984 b;3.1
HD 192263 b;0.733
HD 192310 c;0.075
HD 192699 b;2.5
HD 195019 b;3.7
HD 196050 b;2.83
HD 196067 b;6.9
HD 196885 A b;2.98
HD 197037 b;0.79
HD 19994 b;1.68
HD 20003 b;0.0378
HD 20003 c;0.0422
HD 200964 b;1.85
HD 200964 c;0.895
HD 202206 b;17.4
